#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 12 31 23 50 222 11.7 14.3  3.13 12.90  7.07 265 1000.7  10.7   9.0  10.7 99.0 99.00
2020 01 01 00 20 230 12.6 15.7  3.22  9.09  6.98 277 1000.3  10.8   9.0  10.8 99.0 99.00
2020 01 01 00 50 232 12.2 14.7  3.42 10.81  7.08 278 1000.2  10.9   9.0  10.9 99.0 99.00
2020 01 01 01 20 236 13.1 16.2  3.44 12.12  7.08 268 1000.0  10.8   9.0  10.8 99.0 99.00
2020 01 01 01 50 245 13.1 15.9  3.38  8.33  6.83 263 1000.7  10.7   9.0  10.7 99.0 99.00
2020 01 01 02 20 249 11.9 13.9  4.11 12.90  7.55 282 1001.0  10.6   9.0  10.6 99.0 99.00
2020 01 01 02 50 249 11.3 13.6  3.95  9.09  7.45 266 1001.3  10.4   9.0  10.4 99.0 99.00
2020 01 01 03 20 251 12.0 16.2  3.99  9.09  7.39 269 1001.3  10.6   9.0  10.6 99.0 99.00
2020 01 01 03 50 243 11.1 13.8  3.90 12.90  7.68 275 1001.6  10.5   9.0  10.5 99.0 99.00
2020 01 01 04 20 251 12.0 15.0  3.88 12.90  7.61 274 1001.6  10.5   9.0  10.5 99.0 99.00
2020 01 01 04 50 244 11.0 13.1  4.09  8.33  7.81 253 1001.8  10.7   9.0  10.5 99.0 99.00
2020 01 01 05 20 244 10.1 12.7  4.08 12.12  7.80 281 1002.2  10.3   9.0  10.3 99.0 99.00
2020 01 01 05 50 246 10.7 13.2  4.57 12.12  8.27 281 1002.2  10.1   9.0  10.1 99.0 99.00
2020 01 01 06 20 246 10.3 12.7  4.60 12.12  8.40 281 1002.2  10.1   9.0  10.1 99.0 99.00
2020 01 01 06 50 246 11.1 13.6  4.45 11.43  8.35 282 1002.3  10.2   9.0  10.2 99.0 99.00
2020 01 01 07 20 244 10.7 13.2  4.62 12.12  8.84 279 1002.4  10.4   9.0  10.2 99.0 99.00
2020 01 01 07 50 251 12.1 14.3  4.36 12.90  8.53 277 1002.4  10.5   9.0  10.1 99.0 99.00
2020 01 01 08 20 244 10.4 12.4  4.46 11.43  8.49 281 1002.6  10.3   9.0   9.9 99.0 99.00
2020 01 01 08 50 249 11.0 14.2  4.31 11.43  8.17 278 1002.5   9.9   9.0   9.9 99.0 99.00
2020 01 01 09 20 248 10.2 12.4  4.32 10.81  8.07 277 1002.8   9.9   8.9   9.9 99.0 99.00
2020 01 01 09 50 248 11.7 14.4  4.47 11.43  8.19 275 1002.8  10.3   8.9  10.0 99.0 99.00
2020 01 01 10 20 254 11.4 14.4  4.59 12.12  8.23 274 1003.3  10.4   8.9   9.7 99.0 99.00
2020 01 01 10 50 260 11.3 14.7  4.38 12.12  7.92 273 1003.5  10.2   8.9   9.7 99.0 99.00
2020 01 01 11 20 263 10.5 13.8  4.32 11.43  7.65 281 1004.0  10.2   8.8   9.3 99.0 99.00
2020 01 01 11 50 262  9.3 11.6  4.68 12.90  8.12 269 1004.2  10.1   8.8   9.6 99.0 99.00
2020 01 01 12 20 269  8.7 10.8  4.08 12.12  7.82 274 1004.3  10.0   8.9   9.4 99.0 99.00
2020 01 01 12 50 264  9.6 12.4  4.12 12.90  7.76 277 1004.3  10.0   8.9   9.5 99.0 99.00
2020 01 01 13 20 273 11.9 14.5  4.09 12.12  8.03 263 1004.4  10.3   8.9   8.6 99.0 99.00
2020 01 01 13 50 260  9.8 11.4  4.34 10.81  8.12 261 1004.7   9.9   8.9   9.2 99.0 99.00
2020 01 01 14 20 269 10.0 11.9  4.37 12.12  8.48 263 1005.1  10.0   8.9   9.2 99.0 99.00
2020 01 01 14 50 263  9.2 11.2  4.16 13.79  8.31 254 1005.3  10.0   9.0   9.1 99.0 99.00
2020 01 01 15 20 267  7.3  9.7  3.94 12.12  8.42 264 1005.8   9.9   9.0   8.9 99.0 99.00
2020 01 01 15 50 276  8.2 11.1  3.95 13.79  8.39 262 1006.3   8.9   9.0   8.8 99.0 99.00
2020 01 01 16 20 258  7.8  9.3  4.03 12.90  8.91 266 1006.8   9.0   9.0   9.0 99.0 99.00
2020 01 01 16 50 259  7.0  8.4  4.00 13.79  8.98 268 1007.2   9.0   9.0   8.7 99.0 99.00
2020 01 01 17 20 255  6.4  8.2  3.93 12.12  8.83 269 1008.0   9.3   8.9   8.9 99.0 99.00
2020 01 01 17 50 253  7.1  9.6  3.73 12.90  9.24 266 1008.6   9.7   9.0   9.3 99.0 99.00
2020 01 01 18 20 271  6.4  9.1  4.04 12.12  9.61 269 1008.8   9.9   9.0   9.1 99.0 99.00
2020 01 01 18 50 254  7.2  8.6  4.09 13.79  9.61 263 1008.9   9.8   9.0   9.3 99.0 99.00
2020 01 01 19 20 244  6.7  8.3  3.74 12.90  9.44 266 1008.9   9.8   9.0   9.4 99.0 99.00
2020 01 01 19 50 285  5.8  7.4  3.53 12.12  9.43 260 1008.9   9.3   9.0   7.7 99.0 99.00
2020 01 01 20 20 259  6.3  8.0  3.97 13.79  9.81 265 1009.2   9.3   9.0   8.8 99.0 99.00
2020 01 01 20 50 289  4.8  7.1  4.07 13.79  9.89 275 1009.0   9.0   9.1   8.3 99.0 99.00
2020 01 01 21 20 246  6.4  8.3  4.01 12.90  9.65 265 1009.3   9.1   9.1   8.2 99.0 99.00
2020 01 01 21 50 282  5.9  8.5  3.78 12.12  9.36 278 1009.7   8.9   9.1   8.7 99.0 99.00
2020 01 01 22 20 266  7.7  9.2  3.49 13.79  9.23 273 1009.5   9.7   9.1   8.6 99.0 99.00
2020 01 01 22 50 273  8.9 11.0  3.88 12.90  9.29 282 1009.7   9.7   9.1   8.3 99.0 99.00
2020 01 01 23 20 283  9.4 12.2  3.62 12.12  8.58 274 1010.3   9.3   9.1   8.0 99.0 99.00
2020 01 01 23 50 278 10.1 11.9  3.83 13.79  8.54 279 1011.0   9.1   9.1   7.2 99.0 99.00
2020 01 02 00 20 292  9.1 11.1  4.13 11.43  8.54 287 1011.0   9.3   9.1   7.2 99.0 99.00
2020 01 02 00 50 290 11.7 14.7  3.71 11.43  8.20 288 1011.3   9.1   9.1   6.1 99.0 99.00
2020 01 02 01 20 291 10.8 13.0  4.05 11.43  8.31 280 1011.9   8.7   9.0   5.9 99.0 99.00
2020 01 02 01 50 290 12.4 15.2  4.42 12.12  8.27 280 1012.1   8.6   9.0   5.6 99.0 99.00
2020 01 02 02 20 283 12.5 15.7  4.33 10.81  8.18 290 1012.2   8.3   9.0   5.6 99.0 99.00
2020 01 02 02 50 281 12.0 14.8  4.07 13.79  8.07 284 1012.7   8.3   9.0   5.3 99.0 99.00
2020 01 02 03 20 284 11.8 14.1  4.24 11.43  8.49 284 1013.0   8.5   9.0   5.0 99.0 99.00
2020 01 02 03 50 285 12.0 14.3  4.07 14.81  8.17 261 1013.6   7.6   9.0   4.9 99.0 99.00
2020 01 02 04 20 279 11.5 14.2  4.10 11.43  8.14 287 1014.6   8.0   9.0   4.5 99.0 99.00
2020 01 02 04 50 282 10.3 13.0  4.48 12.90  8.31 284 1015.0   8.0   8.9   4.1 99.0 99.00
2020 01 02 05 20 282 10.8 13.0  4.32 12.90  8.42 278 1015.1   8.0   9.0   3.4 99.0 99.00
2020 01 02 05 50 282 10.4 13.5  3.73 10.81  7.82 286 1015.7   8.1   9.0   4.0 99.0 99.00
2020 01 02 06 20 288 10.0 12.4  4.11 11.43  8.34 271 1016.0   8.0   9.0   3.8 99.0 99.00
2020 01 02 06 50 282 11.0 13.2  4.40 10.81  8.79 281 1016.2   7.7   9.0   3.9 99.0 99.00
2020 01 02 07 20 278 11.5 13.3  3.89 17.39  8.39 295 1016.5   7.8   9.0   3.7 99.0 99.00
2020 01 02 07 50 279 11.2 12.9  3.66 13.79  8.05 281 1016.8   7.8   8.9   2.9 99.0 99.00
2020 01 02 08 20 284 10.6 12.3  3.80 13.79  8.34 261 1017.2   7.9   8.9   3.3 99.0 99.00
2020 01 02 08 50 285  9.3 10.8  3.78 13.79  8.28 272 1017.3   7.8   8.9   3.4 99.0 99.00
2020 01 02 09 20 278  8.4  9.9  3.67 12.12  8.11 262 1017.7   7.6   8.9   4.2 99.0 99.00
2020 01 02 09 50 275  7.7 10.5  3.68 12.90  8.44 289 1017.9   7.6   8.8   3.0 99.0 99.00
2020 01 02 10 20 276  7.9  9.6  3.59 12.90  8.29 268 1018.3   7.6   8.8   2.8 99.0 99.00
2020 01 02 10 50 277  6.8  8.7  3.65 13.79  8.46 270 1018.3   7.6   8.8   2.9 99.0 99.00
2020 01 02 11 20 276  7.5 10.6  3.56 12.90  8.58 282 1018.2   7.5   8.8   3.0 99.0 99.00
2020 01 02 11 50 262  4.8  6.9  3.26 12.12  8.34 289 1018.4   7.1   8.8   2.7 99.0 99.00
2020 01 02 12 20 266  3.8  5.5  3.44 12.12  8.59 273 1018.3   7.3   8.8   2.2 99.0 99.00
2020 01 02 12 50 276  3.2  4.6  3.64 12.90  8.89 280 1017.9   7.4   8.8   2.2 99.0 99.00
2020 01 02 13 20 286  3.5  4.9  3.70 12.12  8.81 279 1018.2   7.5   8.8   2.8 99.0 99.00
2020 01 02 13 50 281  2.9  4.2  3.31 10.81  8.71 274 1018.3   7.5   8.7   2.5 99.0 99.00
2020 01 02 14 20 290  1.9  3.4  3.84 12.90  9.01 284 1018.4   7.6   8.7   2.7 99.0 99.00
2020 01 02 14 50  64  2.6  4.8  3.89 12.90  8.98 281 1018.2   7.1   8.6   3.8 99.0 99.00
2020 01 02 15 20  85  4.2  6.5  3.58 12.12  9.11 281 1018.0   6.8   8.6   4.1 99.0 99.00
2020 01 02 15 50  85  3.2  4.8  3.58 10.81  9.04 280 1018.4   6.9   8.5   3.9 99.0 99.00
2020 01 02 16 20 114  3.1  5.6  3.74 10.81  9.22 279 1018.6   5.9   8.5   3.7 99.0 99.00
2020 01 02 16 50  97  2.9  5.1  3.94 12.90  9.41 271 1019.1   5.7   8.5   4.2 99.0 99.00
2020 01 02 17 20  79  4.3  7.0  4.04 11.43  9.35 270 1018.9   5.6   8.5   4.2 99.0 99.00
2020 01 02 17 50  74  6.5  9.0  3.71 11.43  9.30 272 1018.5   5.7   8.5   4.2 99.0 99.00
2020 01 02 18 20  76  7.1  9.4  3.64 12.90  9.16 278 1018.3   5.5   8.5   4.4 99.0 99.00
2020 01 02 18 50  84  7.7 10.9  3.75 12.90  9.08 265 1017.8   5.6   8.6   4.7 99.0 99.00
2020 01 02 19 20 122  7.6 10.2  3.63 13.79  9.13 270 1017.5   5.9   8.6   4.0 99.0 99.00
2020 01 02 19 50 103  8.1 11.1  3.25 12.12  8.85 262 1016.8   5.7   8.7   3.9 99.0 99.00
2020 01 02 20 20 116  9.3 11.4  3.19 12.90  9.42 265 1016.1   5.5   8.7   4.3 99.0 99.00
2020 01 02 20 50 109  9.9 12.1  3.59 13.79  9.25 265 1015.2   5.4   8.7   4.2 99.0 99.00
2020 01 02 21 20 110 10.9 14.3  3.17 12.90  9.05 254 1014.6   5.7   8.8   4.6 99.0 99.00
2020 01 02 21 50 106 11.9 14.9  3.25 12.90  8.40 247 1013.9   5.6   8.8   4.5 99.0 99.00
2020 01 02 22 20 106 12.5 15.8  3.47 13.79  8.79 256 1013.4   5.4   8.8   4.4 99.0 99.00
2020 01 02 22 50 103 13.8 17.6  2.93 12.90  7.66 259 1012.5   5.3   8.8   4.3 99.0 99.00
2020 01 02 23 20 102 14.5 17.2  3.05 14.81  7.49 262 1011.5   5.3   8.8   4.7 99.0 99.00
2020 01 02 23 50  99 14.0 17.5  3.09 14.81  7.49 241 1011.2   5.4   8.8   5.0 99.0 99.00
2020 01 03 00 20 101 13.6 16.4  2.94 13.79  7.17 245 1010.8   5.1   8.8   5.0 99.0 99.00
2020 01 03 00 50 103 13.0 15.9  2.91 14.81  7.16 246 1010.3   5.4   8.8   5.4 99.0 99.00
